Indicateur :;Superficie cultivée des légumineuses;;;;;;
;;;;;;;
Périodes;Total;Fève;Petits-poids;Lentilles;Pois-chiches;Orobe;Autres légumineuses
;;;;;;;
1990;502,4;224,4;69,6;56,7;-;20,1;-
1991;445,1;178,5;62;47,6;-;20,2;-
1992;450;216,8;41,4;43,3;-;20,8;-
1993;322,3;99,5;37,8;41,1;-;17,5;-
1994;346,8;122,6;41,9;42,2;-;23;-
1995;316,1;118;27,9;46,8;-;17,3;-
1996;312,3;135,1;30;48,7;-;18,6;-
1997;362,4;153,2;37,5;54;-;21,3;-
1998;382;160,9;38,3;57,3;-;21,7;-
1999;334,1;138,5;27,6;42,3;-;21,4;-
2000;320,5;137,7;30,1;41,4;-;19,2;26
2001;314,2;142,5;27,5;41,9;-;16,7;27,6
2002;382;154,1;39,5;61,1;-;19,9;35,8
2003;359,3;151,4;33,1;54,2;-;18,5;31,2
2004;365,1;152,9;38,4;52,2;-;17,1;32,5
2005;350.9;145.6;36.4;49.2;-;16.4;-
2006;373.1;169.1;35.8;50.3;-;13.9;29.1
2007;371.1;180.8;37.3;32.7;78.5;11.8;30
2008;372.9;181.9;37.9;35.2;69.4;14.8;33.8
2009;376.1;179.8;39;34.7;-;14.7;27
2010;196.9;31.9;3.5;1.3;-;6.2;86.1
2011;199.6;29.2;4.3;1.5;-;6.4;55.6
2012;397.6;187.2;51.8;49.1;50.6;5.5;28.5
2013;205.5;205.5;55.7;53.3;57;3.7;25.2
2014;404.4;191.5;42.6;46.9;76.4;3.7;24.8
2015;417.9;193.3;50.4;46;75.2;4.5;19.6
2016;282.8;88.4;27.9;34;88.9;2.4;17.7
2017;305.5;131.4;37.1;42.8;43.4;1.4;27.5
2018;-;136.9;41.2;39.8;86.8;3.5;21.9
2019;-;125.8;40.9;40.3;82;3.5;17.7
2020;-;107.3;42.2;40.6;53.6;-;-
