periode,Total,Abats,Bovins,Ovins,Caprins,Autres_variete
1990,332,49,157,100,-,25
1991,320,47,149,99,21,25
1992,321,44,145,109,20,23
1993,318,42,154,102,20,23
1994,295,40,125,105,20,25
1995,297,39,122,112,20,24
1996,253,33,103,90,22,27
1997,288,38,110,114,22,26
1998,300,40,120,115,20,25
1999,315,40,135,115,20,25
2000,330,43,140,120,-,-
2001,334,44,145,120,20,-
2002,344,45,170,110,15,-
2003,313,41,150,105,13,-
2004,400,52,176,123,23,-
2005,371,51,174,120,22,4
2006,378,52,176,123,23,4
2007,354,46,169,115,20,4
2008,400,52,180,121,22,25
2009,425,55,190,134,21,25
2010,425,50,191,135,23,26
2011,458,59,204,143,25,27
2012,470,55,229,131,30,25
2013,487,61,254,119,27,26
2014,509,59,270,125,28,27
2015,530,62,281,130,29,28
2016,550,82,262,150,28,28
2017,590,87,283,162,32,109
2018,579,82,261,180,30,112
2019,606,-,283,179,32,112
2020,541,-,252,162,30,97
